Year;Qtr;Risk Class;Type;Car-years of Exposure;Bodily Injury;Property Damage;Comprehensive;Collision;Personal Injury;Bodily Injury;Property Damage;Comprehensive;Collision;Personal Injury
2009;1;SML;Personal;15.036;95;1.538;654;2.580;374;Ĉ1.121.863;Ĉ2.412.223;Ĉ996.955;Ĉ3.615.294;Ĉ930.279
2009;1;LSL;Personal;4.563;21;390;504;776;88;372.898;1.122.037;606.967;2.024.342;393.510
2009;1;MYA;Personal;4.322;82;481;346;1.267;126;824.822;1.550.493;354.668;3.018.488;518.928
2009;1;SMA;Personal;16.801;96;1.285;1.527;2.697;393;1.671.255;4.726.670;1.372.117;8.035.608;1.692.704
2009;1;MSL;Personal;13.979;151;1.086;1.137;2.076;382;2.939.597;3.176.738;1.517.652;5.563.673;816.301
2009;1;LYL;Personal;3.136;63;248;345;486;114;1.111.884;724.685;417.530;1.557.539;513.072
2009;1;LSA;Personal;20.636;285;2.117;1.535;3.634;631;6.661.795;5.378.776;1.276.285;7.800.120;4.673.025
2009;1;LMA;Personal;25.318;729;2.119;2.582;3.919;630;11.019.847;5.011.755;2.431.109;9.769.326;2.621.198
2009;1;SYL;Personal;2.602;92;230;257;329;119;965.951;639.967;204.284;815.522;368.611
2009;1;MYL;Personal;2.575;84;246;437;419;84;1.142.445;740.437;299.252;1.079.089;307.770
2009;1;MYH;Personal;6.741;202;615;789;1.319;180;3.863.682;2.643.665;951.281;3.300.612;792.972
2009;1;LML;Personal;19.287;145;1.585;3.391;3.188;625;2.150.029;2.884.540;3.047.356;5.123.048;2.326.556
2009;1;MSA;Personal;21.487;309;2.050;2.321;4.951;890;5.395.998;6.225.875;2.925.362;11.853.573;2.730.638
2009;1;LYA;Personal;5.362;150;523;681;888;236;2.729.809;1.485.120;550.251;2.180.302;1.516.782
2009;1;MMA;Personal;34.651;936;3.389;5.250;6.778;1.341;11.525.164;10.152.164;5.667.125;17.957.902;10.491.112
2009;1;LYH;Personal;3.768;121;407;458;787;190;1.932.044;1.225.833;577.973;1.922.440;1.055.362
2009;1;SSA;Personal;6.983;214;679;1.416;1.605;247;4.251.019;1.245.173;1.201.957;5.221.645;1.172.115
2009;1;MML;Personal;23.239;537;2.468;5.041;3.995;823;7.653.564;7.182.832;2.809.154;10.849.808;1.360.243
2009;1;LMH;Personal;16.510;258;1.927;3.190;4.155;748;7.862.441;6.373.091;1.301.780;12.085.964;5.431.067
2009;1;SSL;Personal;12.368;419;1.135;3.046;2.000;412;4.661.392;3.144.547;2.609.611;4.821.219;816.552
2009;1;SSH;Personal;11.120;297;1.321;1.671;2.032;307;3.772.861;4.951.332;1.674.145;6.887.676;929.751
2009;1;MMH;Personal;19.780;795;2.510;2.475;5.002;1.021;8.496.442;7.252.768;3.122.770;11.701.024;2.270.631
2009;1;SYA;Personal;5.491;224;707;928;1.247;138;3.383.908;2.582.072;852.781;4.052.853;603.018
2009;1;LSH;Personal;10.083;426;1.491;1.697;3.267;550;7.251.783;4.373.551;2.075.425;8.669.393;2.608.494
